Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualFixedOperatingCost,CapitalInvestmentStorage,AnnualVariableOperatingCost,TotalTechnologyAnnualActivity,CapitalInvestment,AnnualTechnologyEmission,TotalCapacityAnnual,NewCapacity
Scenario1,0,RE1,,BACKSTOP,,2019,,,,,,,,,,,,,,,,,0.3048575216660601
Scenario1,0,RE1,,BACKSTOP,,2020,,,,,,,,,,,,,,,,,0.3478523019568891
Scenario1,0,RE1,,BACKSTOP,,2021,,,,,,,,,,,,,,,,,0.4586050296059856
Scenario1,0,RE1,,BACKSTOP,,2022,,,,,,,,,,,,,,,,,0.2596423914208421
Scenario1,0,RE1,,BACKSTOP,,2023,,,,,,,,,,,,,,,,,0.2971346621471697
Scenario1,0,RE1,,BACKSTOP,,2024,,,,,,,,,,,,,,,,,0.3421776794079493
Scenario1,0,RE1,,BACKSTOP,,2025,,,,,,,,,,,,,,,,,0.3207655367985313
Scenario1,0,RE1,,BACKSTOP,,2026,,,,,,,,,,,,,,,,,0.0
Scenario1,0,RE1,,BACKSTOP,,2027,,,,,,,,,,,,,,,,,0.0
Scenario1,0,RE1,,BACKSTOP,,2028,,,,,,,,,,,,,,,,,0.0
Scenario1,0,RE1,,BACKSTOP,,2029,,,,,,,,,,,,,,,,,0.0
Scenario1,0,RE1,,BACKSTOP,,2030,,,,,,,,,,,,,,,,,0.0
Scenario1,0,RE1,,BACKSTOP,,2031,,,,,,,,,,,,,,,,,0.0
Scenario1,0,RE1,,BACKSTOP,,2032,,,,,,,,,,,,,,,,,0.0
Scenario1,0,RE1,,BACKSTOP,,2033,,,,,,,,,,,,,,,,,0.0
Scenario1,0,RE1,,BACKSTOP,,2034,,,,,,,,,,,,,,,,,0.0
Scenario1,0,RE1,,BACKSTOP,,2035,,,,,,,,,,,,,,,,,0.0
Scenario1,0,RE1,,BACKSTOP,,2036,,,,,,,,,,,,,,,,,0.0
Scenario1,0,RE1,,BACKSTOP,,2037,,,,,,,,,,,,,,,,,0.0
Scenario1,0,RE1,,BACKSTOP,,2038,,,,,,,,,,,,,,,,,0.0
Scenario1,0,RE1,,BACKSTOP,,2039,,,,,,,,,,,,,,,,,0.0
Scenario1,0,RE1,,BACKSTOP,,2040,,,,,,,,,,,,,,,,,0.0
Scenario1,0,RE1,,BACKSTOP,,2041,,,,,,,,,,,,,,,,,0.0
